Scenario,Pollutant,Horizon,MAE,Crisis_MAE,RMSE,R2
No Thermals (Heat),PM10,42,9.866951,17.064898,27.752275,0.17695391
No Thermals (Heat),PM2.5,42,2.6196167,11.637663,5.2681527,0.2288028
No Thermals (Heat),O3,48,7.346998,11.659561,9.494252,0.3539406
No Thermals (Heat),SO2,48,0.33938274,5.562799,0.55938375,0.2665897
No Thermals (Heat),CO,48,0.10292913,0.26645058,0.13637948,0.2977804
No Thermals (Heat),NO2,48,3.374873,8.569572,4.8506055,0.36568886
No Thermals (Heat),PM10,48,9.8293495,16.77296,27.524736,0.19051743
No Thermals (Heat),PM2.5,48,2.6685257,11.236835,5.301862,0.21608877
No Thermals (Heat),O3,54,7.6931953,11.054399,9.848323,0.31021982
No Thermals (Heat),SO2,54,0.3327728,5.604866,0.5545584,0.2724746
No Thermals (Heat),CO,54,0.1018415,0.24255934,0.13501991,0.31002432
No Thermals (Heat),NO2,54,3.2884662,7.0611005,4.7590294,0.38861436
No Thermals (Heat),PM10,54,9.67704,16.753231,27.360922,0.20001197
No Thermals (Heat),PM2.5,54,2.6571803,10.125311,5.239365,0.23321325
No Thermals (Heat),O3,60,7.6567183,8.958819,9.882775,0.31301695
No Thermals (Heat),SO2,60,0.33971763,5.5222664,0.55761206,0.26372617
No Thermals (Heat),CO,60,0.10379376,0.24161379,0.13694142,0.28959012
No Thermals (Heat),NO2,60,3.2879672,7.452735,4.729654,0.39615077
No Thermals (Heat),PM10,60,9.541195,17.155848,27.40669,0.19747394
No Thermals (Heat),PM2.5,60,2.6265523,11.142481,5.242679,0.23203194
No Thermals (Heat),O3,66,6.988899,7.728133,9.330366,0.3925249
No Thermals (Heat),SO2,66,0.34353673,5.531187,0.5609844,0.25296348
No Thermals (Heat),CO,66,0.10515278,0.24817635,0.13926905,0.25765342
No Thermals (Heat),NO2,66,3.3063054,7.9487867,4.799986,0.37602663
No Thermals (Heat),PM10,66,9.674475,17.45987,27.803242,0.17318958
No Thermals (Heat),PM2.5,66,2.623805,11.759327,5.278494,0.2179038
No Thermals (Heat),O3,72,7.2854495,10.204825,9.609693,0.36029541
No Thermals (Heat),SO2,72,0.34226468,5.6455994,0.56292033,0.24302053
No Thermals (Heat),CO,72,0.10383007,0.2666993,0.13730484,0.27366936
No Thermals (Heat),NO2,72,3.4266536,8.751387,4.932942,0.3398202
No Thermals (Heat),PM10,72,9.826597,17.265156,28.365856,0.14006764
No Thermals (Heat),PM2.5,72,2.677841,11.656936,5.34841,0.1965121
No Rain (Washout),O3,6,6.9197216,8.846015,8.69818,0.41917014
No Rain (Washout),SO2,6,0.3345437,5.747758,0.56317973,0.2766087
No Rain (Washout),CO,6,0.1014539,0.24633823,0.1346542,0.34123045
No Rain (Washout),NO2,6,3.2978673,7.5497675,4.7784066,0.39711177
No Rain (Washout),PM10,6,9.396221,17.409487,27.574015,0.19194293
No Rain (Washout),PM2.5,6,2.5808864,9.549317,5.110791,0.29583567
No Rain (Washout),O3,12,7.087748,7.3765454,9.006873,0.38564128
No Rain (Washout),SO2,12,0.33265436,5.696149,0.56133276,0.28006822
No Rain (Washout),CO,12,0.10131064,0.25151092,0.13465655,0.34121692
No Rain (Washout),NO2,12,3.331194,7.5966578,4.860723,0.37458587
No Rain (Washout),PM10,12,9.312408,17.206348,27.118395,0.21830416
No Rain (Washout),PM2.5,12,2.542168,10.125065,5.107051,0.3001861
No Rain (Washout),O3,18,6.919803,6.4411254,8.891552,0.40718216
No Rain (Washout),SO2,18,0.33951148,5.626203,0.5636678,0.2719006
No Rain (Washout),CO,18,0.10691715,0.21482955,0.13956027,0.28409594
No Rain (Washout),NO2,18,3.2727094,7.0589037,4.6944647,0.41238248
No Rain (Washout),PM10,18,9.346245,16.61941,26.992975,0.22278619
No Rain (Washout),PM2.5,18,2.5793908,9.548056,5.1256022,0.2877791
No Rain (Washout),O3,24,6.7589836,7.7182817,8.674106,0.4410252
No Rain (Washout),SO2,24,0.33484706,5.6047115,0.55889994,0.28209007
No Rain (Washout),CO,24,0.10356459,0.23770851,0.13615589,0.31518
No Rain (Washout),NO2,24,3.108842,8.166454,4.51667,0.45436972
No Rain (Washout),PM10,24,9.464363,16.689783,27.01078,0.21732587
No Rain (Washout),PM2.5,24,2.5199175,10.578082,5.102806,0.2829755
No Rain (Washout),O3,30,6.8518734,8.559722,8.803858,0.42902803
No Rain (Washout),SO2,30,0.3280976,5.612529,0.5548283,0.29115045
No Rain (Washout),CO,30,0.10417962,0.22034785,0.1368917,0.30603462
No Rain (Washout),NO2,30,3.23839,6.9385376,4.679161,0.41319817
No Rain (Washout),PM10,30,9.630695,16.85243,27.74835,0.17305368
No Rain (Washout),PM2.5,30,2.5784647,10.1204,5.1550446,0.26044732
No Rain (Washout),O3,36,7.0152626,7.513034,9.094359,0.3978123
No Rain (Washout),SO2,36,0.33088988,5.5641503,0.5560125,0.28706533
No Rain (Washout),CO,36,0.10341254,0.2442653,0.1363679,0.31106526
No Rain (Washout),NO2,36,3.2806597,7.9024906,4.74652,0.39630675
No Rain (Washout),PM10,36,9.769785,16.927364,27.758696,0.17251647
No Rain (Washout),PM2.5,36,2.6237502,10.721054,5.246806,0.23359865
No Rain (Washout),O3,42,6.9114485,8.007833,8.989786,0.4165997
No Rain (Washout),SO2,42,0.3477538,5.557907,0.5674003,0.25591403
No Rain (Washout),CO,42,0.10702595,0.22504023,0.13950865,0.26954544
No Rain (Washout),NO2,42,3.3749452,7.2707944,4.7593093,0.39047366
No Rain (Washout),PM10,42,9.936594,16.69398,28.166693,0.15218973
No Rain (Washout),PM2.5,42,2.6988628,10.092072,5.299502,0.21959716
No Rain (Washout),O3,48,7.173748,9.437345,9.258319,0.38565093
No Rain (Washout),SO2,48,0.34108394,5.5788517,0.5597092,0.26573616
No Rain (Washout),CO,48,0.10290576,0.2655018,0.1358752,0.30296385
No Rain (Washout),NO2,48,3.301775,8.34667,4.7717476,0.38614565
No Rain (Washout),PM10,48,9.756239,16.842426,27.168293,0.2113471
No Rain (Washout),PM2.5,48,2.656806,10.855436,5.2645288,0.22708964
No Rain (Washout),O3,54,7.149247,10.326151,9.296322,0.3853776
No Rain (Washout),SO2,54,0.3376291,5.5974746,0.5571245,0.26572603
No Rain (Washout),CO,54,0.10234292,0.2509982,0.13540854,0.30604678
No Rain (Washout),NO2,54,3.3120143,7.153909,4.7636743,0.38742036
No Rain (Washout),PM10,54,9.783416,16.566948,27.332941,0.20164734
No Rain (Washout),PM2.5,54,2.6188424,10.450499,5.214725,0.24040848
No Rain (Washout),O3,60,7.6080604,8.342016,9.931646,0.30620575
No Rain (Washout),SO2,60,0.33719435,5.5970097,0.5585985,0.26111883
No Rain (Washout),CO,60,0.102478705,0.26255375,0.13592383,0.3001088
No Rain (Washout),NO2,60,3.2869515,8.845537,4.7359424,0.394544
No Rain (Washout),PM10,60,9.571684,17.284182,27.720226,0.17900693
No Rain (Washout),PM2.5,60,2.575053,11.424325,5.23694,0.23371238
No Rain (Washout),O3,66,7.1396966,7.9031005,9.473323,0.3737672
No Rain (Washout),SO2,66,0.34434623,5.647655,0.5653436,0.24130839
No Rain (Washout),CO,66,0.10717601,0.23323819,0.14045987,0.24490422
