Scenario,Pollutant,Horizon,MAE,Crisis_MAE,
Blind (Pollution Only),O3,66,4.723219872,8.535246849,
Blind (Pollution Only),O3,72,4.940518856,7.951172829,
Blind (Pollution Only),SO2,6,27.58987808,26.93361664,
Blind (Pollution Only),SO2,12,28.54576874,27.62540245,
Blind (Pollution Only),SO2,18,26.05130386,24.31568909,
Blind (Pollution Only),SO2,24,26.89502907,23.43873215,
Blind (Pollution Only),SO2,30,22.39442062,20.32893944,
Blind (Pollution Only),SO2,36,24.10547447,21.44267654,
Blind (Pollution Only),SO2,42,17.5240593,18.33090019,
Blind (Pollution Only),SO2,48,18.9923954,18.36598969,
Blind (Pollution Only),SO2,54,18.67685699,18.51072121,
Blind (Pollution Only),SO2,60,19.02916718,19.0116291,
Blind (Pollution Only),SO2,66,25.36336327,24.75037575,
Blind (Pollution Only),SO2,72,16.90957451,19.58742523,
Blind (Pollution Only),PM2.5,6,28.12362099,39.17811203,
Blind (Pollution Only),PM2.5,12,26.80161858,35.2868309,
Blind (Pollution Only),PM2.5,18,30.25138474,37.76402283,
Blind (Pollution Only),PM2.5,24,19.94672775,23.50679207,
Blind (Pollution Only),PM2.5,30,14.84729004,16.22027206,
Blind (Pollution Only),PM2.5,36,15.027915,16.23773384,
Blind (Pollution Only),PM2.5,42,14.36881161,14.98278046,
Blind (Pollution Only),PM2.5,48,13.04069614,13.02257442,
Blind (Pollution Only),PM2.5,54,9.853665352,9.431097031,
Blind (Pollution Only),PM2.5,60,9.674993515,9.027817726,
Blind (Pollution Only),PM2.5,66,11.54403114,10.14232635,
Blind (Pollution Only),PM2.5,72,8.71486187,7.611979961,
